,9 Point Prediction
2014-06-29,0.16831346
2014-06-30,0.16833438
2014-07-01,0.16826566
2014-07-02,
2014-07-03,
2014-07-04,
2014-07-05,
2014-07-06,
2014-07-07,
2014-07-08,
2014-07-09,
2014-07-10,
2014-07-11,
2014-07-12,
2014-07-13,0.16827045
2014-07-14,0.16824354
2014-07-15,0.16820125
2014-07-16,0.16823296
2014-07-17,0.16823296
2014-07-18,0.16823296
2014-07-19,0.16823296
2014-07-20,0.16827525
2014-07-21,0.16816734
2014-07-22,0.16816734
2014-07-23,0.16816734
2014-07-24,0.16823249
2014-07-25,0.17303097
2014-07-26,0.21781556
2014-07-27,0.21853818
2014-07-28,0.2213244
2014-07-29,0.22012015
2014-07-30,0.34007168
2014-07-31,0.3277356
2014-08-01,0.21235512
2014-08-02,0.21593978
2014-08-03,0.22165348
2014-08-04,0.19812016
2014-08-05,0.19812016
2014-08-06,0.19774584
2014-08-07,0.17456727
2014-08-08,0.178623
2014-08-09,
2014-08-10,
2014-08-11,
2014-08-12,
2014-08-13,0.17016347
2014-08-14,0.17099482
2014-08-15,0.17099753
2014-08-16,0.1710183
2014-08-17,0.1708852
2014-08-18,0.16871299
2014-08-19,0.16882126
2014-08-20,0.16864304
2014-08-21,0.16859192
2014-08-22,0.1685719
2014-08-23,0.16857754
2014-08-24,0.16859052
2014-08-25,0.16859223
2014-08-26,0.16857427
2014-08-27,0.16858143
2014-08-28,0.16865428
2014-08-29,0.16904496
2014-08-30,0.16862585
2014-08-31,0.16885938
2014-09-01,0.16852205
2014-09-02,0.1691779
2014-09-03,0.16925798
2014-09-04,0.1705382
2014-09-05,0.1705274
2014-09-06,0.16965608
2014-09-07,0.17050897
2014-09-08,0.17010286
2014-09-09,0.16930981
2014-09-10,0.16938202
2014-09-11,0.16960312
2014-09-12,0.16966051
2014-09-13,0.16931829
2014-09-14,0.16931193
2014-09-15,0.16932084
2014-09-16,0.16966476
2014-09-17,0.16934705
2014-09-18,0.16938914
2014-09-19,0.1683004
2014-09-20,0.16914774
2014-09-21,0.16919602
2014-09-22,0.16845001
2014-09-23,0.16834402
2014-09-24,0.16827154
2014-09-25,0.16844797
2014-09-26,0.16892491
2014-09-27,0.16836503
2014-09-28,0.16828008
2014-09-29,0.16847852
2014-09-30,0.1684883
2014-10-01,0.16834195
2014-10-02,0.16845678
2014-10-03,0.1686175
2014-10-04,0.16861315
2014-10-05,0.16805626
2014-10-06,0.16810338
2014-10-07,0.16858846
2014-10-08,0.16852589
2014-10-09,0.1683737
2014-10-10,0.1683737
2014-10-11,0.16854344
2014-10-12,0.16867389
2014-10-13,0.16871448
2014-10-14,0.1686419
2014-10-15,0.1691245
2014-10-16,0.16918021
2014-10-17,0.16851392
2014-10-18,0.16876067
2014-10-19,0.1686906
2014-10-20,0.16911656
2014-10-21,0.16911656
2014-10-22,0.16910683
2014-10-23,0.1690843
2014-10-24,0.16977607
2014-10-25,0.1716974
2014-10-26,0.17442489
2014-10-27,0.17477015
2014-10-28,0.17440747
2014-10-29,0.17400374
2014-10-30,0.17020598
2014-10-31,0.16875465
2014-11-01,0.16800903
2014-11-02,0.16807108
2014-11-03,0.16813594
2014-11-04,0.16821791
2014-11-05,0.1678299
2014-11-06,0.16880876
2014-11-07,0.16863802
2014-11-08,0.1686758
2014-11-09,0.16870512
2014-11-10,0.16867876
2014-11-11,0.16888507
2014-11-12,0.16904753
2014-11-13,0.16881914
2014-11-14,0.16881914
2014-11-15,0.16876005
2014-11-16,0.16813637
2014-11-17,0.16842501
2014-11-18,0.16819344
2014-11-19,0.16844288
2014-11-20,0.16865595
2014-11-21,0.1686741
2014-11-22,0.16856974
2014-11-23,0.1682986
2014-11-24,0.16834553
2014-11-25,0.1683166
2014-11-26,0.16909555
2014-11-27,0.16919424
2014-11-28,0.1689222
2014-11-29,0.16922274
2014-11-30,0.16938616
2014-12-01,0.16917007
2014-12-02,0.1691521
2014-12-03,0.16896595
2014-12-04,0.16948861
2014-12-05,0.169618
2014-12-06,0.16905415
2014-12-07,0.16859667
2014-12-08,0.16882396
2014-12-09,0.16771536
2014-12-10,0.16772746
2014-12-11,0.16920201
2014-12-12,0.16901304
2014-12-13,0.16872855
2014-12-14,0.18394734
2014-12-15,0.18225081
2014-12-16,0.2006539
2014-12-17,0.20724046
2014-12-18,0.19902025
2014-12-19,0.19916202
2014-12-20,0.18793492
2014-12-21,0.18796287
2014-12-22,0.20033462
2014-12-23,0.18487398
2014-12-24,0.18382803
2014-12-25,0.25977427
2014-12-26,0.2644011
2014-12-27,0.22859438
2014-12-28,0.19930936
2014-12-29,0.17932646
2014-12-30,0.17840467
2014-12-31,0.19163643
2015-01-01,0.244072
2015-01-02,0.23844215
2015-01-03,0.22987817
2015-01-04,0.20558766
2015-01-05,0.2032337
2015-01-06,0.2153284
2015-01-07,0.22227873
2015-01-08,0.19750921
2015-01-09,0.18966173
2015-01-10,0.31757128
2015-01-11,0.234309
2015-01-12,0.4175404
2015-01-13,0.30418724
2015-01-14,0.29968506
2015-01-15,0.2967763
2015-01-16,0.2967763
2015-01-17,0.39234412
2015-01-18,0.38299376
2015-01-19,0.2993501
2015-01-20,0.27231637
2015-01-21,0.23369703
2015-01-22,0.2831018
2015-01-23,0.24214058
2015-01-24,0.21073002
2015-01-25,0.2168602
2015-01-26,0.32680863
2015-01-27,0.30483383
2015-01-28,0.32661545
2015-01-29,0.30193478
2015-01-30,0.30021217
2015-01-31,0.2970233
2015-02-01,0.32427734
2015-02-02,0.28347808
2015-02-03,0.29690433
2015-02-04,0.31419164
2015-02-05,0.21645047
2015-02-06,0.21560837
2015-02-07,0.22801599
2015-02-08,0.17249979
2015-02-09,0.23043276
2015-02-10,0.20065951
2015-02-11,0.19501744
2015-02-12,0.20490238
2015-02-13,0.1742553
2015-02-14,0.19944988
2015-02-15,0.19013111
2015-02-16,0.17716637
2015-02-17,0.19823898
